,year,month,R1,temp_mean,temp_max,temp_min,country_code
1825,2004,5,88.0,18.0,20.8,15.2,GIB
1826,2004,6,0.0,21.7,24.3,19.0,GIB
1827,2004,7,9999.0,24.3,27.4,21.1,GIB
1828,2004,8,0.0,24.5,28.4,20.7,GIB
1829,2004,9,6.0,22.8,26.1,19.5,GIB
1830,2004,10,37.0,19.8,23.0,16.6,GIB
1831,2004,11,50.0,15.8,18.0,13.6,GIB
1832,2004,12,96.0,13.7,16.0,11.5,GIB
1833,2004,1,141.88888888888889,8.355555555555556,11.899999999999999,5.233333333333333,GRC
1834,2004,2,36.888888888888886,9.933333333333334,14.033333333333333,5.633333333333334,GRC
1835,2004,3,37.666666666666664,12.333333333333334,16.08888888888889,8.411111111111111,GRC
1836,2004,4,34.111111111111114,15.666666666666666,19.522222222222226,11.222222222222221,GRC
1837,2004,5,20.22222222222222,19.22222222222222,23.288888888888888,13.38888888888889,GRC
1838,2004,6,3351.6666666666665,24.933333333333334,29.033333333333335,18.666666666666668,GRC
1839,2004,7,1119.111111111111,27.688888888888886,24.788888888888888,21.41111111111111,GRC
1840,2004,8,1115.3333333333333,26.955555555555556,31.43333333333333,20.91111111111111,GRC
1841,2004,9,1139.111111111111,23.311111111111114,27.811111111111114,18.044444444444444,GRC
1842,2004,10,37.333333333333336,20.333333333333332,24.9,15.855555555555554,GRC
1843,2004,11,92.0,14.5,18.38888888888889,11.011111111111111,GRC
1844,2004,12,90.125,11.6,14.975000000000001,8.6,GRC
1845,2004,1,28.4,-9.383333333333333,,,GRL
1846,2004,2,43.2,-10.2,,,GRL
1847,2004,3,60.2,-9.333333333333334,,,GRL
1848,2004,4,55.833333333333336,-4.283333333333333,,,GRL
1849,2004,5,62.0,0.2333333333333333,,,GRL
1850,2004,6,30.5,4.116666666666666,,,GRL
1851,2004,7,63.6,6.0,,,GRL
1852,2004,8,44.6,6.866666666666667,,,GRL
1853,2004,9,78.0,3.0,,,GRL
1854,2004,10,28.5,-1.4000000000000001,,,GRL
1855,2004,11,63.833333333333336,-6.066666666666666,,,GRL
1856,2004,12,42.8,-10.62,,,GRL
1857,2004,1,141.0,24.3,28.4,20.2,GLP
1858,2004,2,89.0,24.6,28.5,20.7,GLP
1859,2004,3,99.0,24.9,28.6,21.3,GLP
1860,2004,4,48.0,26.1,30.0,22.3,GLP
1861,2004,5,324.0,26.5,29.4,23.6,GLP
1862,2004,6,78.0,27.5,30.8,24.2,GLP
1863,2004,7,159.0,27.2,30.5,23.9,GLP
1864,2004,8,211.0,27.6,31.4,23.9,GLP
1865,2004,9,220.0,27.2,31.0,23.5,GLP
1866,2004,11,343.0,25.8,29.4,22.2,GLP
1867,2004,12,140.0,25.0,29.1,21.0,GLP
1868,2004,2,130.5,26.25,,,GUY
1869,2004,5,460.5,26.65,,,GUY
1870,2004,1,48.0,23.0,25.433333333333334,19.833333333333332,HND
1871,2004,7,93.5,25.6,27.450000000000003,23.4,HND
1872,2004,8,97.0,26.4,28.3,24.55,HND
1873,2004,1,34.6,-2.1399999999999997,1.1199999999999999,-5.04,HUN
