Country Label,Pollutant,Unit,Value
Indonesia,RELATIVEHUMIDITY,%,75.23928642272949
Indonesia,TEMPERATURE,c,29.95282745361328
Indonesia,UM003,particles/cm³,7157.075887044271
Iraq,CO,µg/m³,232.21666666666667
Iraq,NO2,µg/m³,10.281333333333334
Iraq,O3,µg/m³,50.79266666666666
Iraq,PM10,µg/m³,65.88533333333332
Iraq,PM2.5,µg/m³,47.8106
Iraq,SO2,µg/m³,422.9996666666666
Ireland,CO,µg/m³,267.21989890500004
Ireland,NO2,µg/m³,28.050587935294118
Ireland,O3,µg/m³,39.094443999999996
Ireland,PM10,µg/m³,-364.1769230769231
Ireland,PM2.5,µg/m³,16.054789683381717
Ireland,SO2,µg/m³,3.7014598225
Ireland,TEMPERATURE,c,18.139657656351726
Israel,PM2.5,µg/m³,10.1
Italy,CO,µg/m³,682.6149004390243
Italy,NO2,µg/m³,20.211397077304348
Italy,O3,µg/m³,52.36162811479592
Italy,PM1,µg/m³,5.591703849037488
Italy,PM10,µg/m³,14.70453449652246
Italy,PM2.5,µg/m³,9.323980107453846
Italy,RELATIVEHUMIDITY,%,85.82648785909016
Italy,SO2,µg/m³,2.972598447444934
Italy,TEMPERATURE,c,15.71232550409105
Italy,UM003,particles/cm³,2704.910685221354
Japan,NO,ppm,0.0012614285714285715
Japan,NOX,ppm,0.005501430615164521
Japan,PM2.5,µg/m³,5.831050072727919
Japan,TEMPERATURE,c,19.973809560139973
Jordan,PM2.5,µg/m³,9.0
Kazakhstan,PM2.5,µg/m³,116.5
Kenya,PM10,µg/m³,5.5
Kenya,PM2.5,µg/m³,9.0
"Korea, Republic of",PM2.5,µg/m³,19.05
Kuwait,PM2.5,µg/m³,38.0
Kyrgyzstan,PM2.5,µg/m³,19.0
Lao People's Dem. Rep.,PM10,µg/m³,25.6
Lao People's Dem. Rep.,PM2.5,µg/m³,21.945833373069764
Lao People's Dem. Rep.,TEMPERATURE,c,27.944652795791626
Latvia,CO,µg/m³,260.0
Latvia,NO2,µg/m³,22.09242011111111
Latvia,O3,µg/m³,49.947909777777774
Latvia,PM10,µg/m³,21.3974999775
Latvia,PM2.5,µg/m³,6.163333335
