country_code,year,co2,co2_per_capita,population
RUS,2025,1631267.19199152,0.01112989505103331,146566269.0000003
RWA,1970,58.672,1.5058129791161868e-05,3896367.0
RWA,1971,62.339,1.5463042326726624e-05,4031483.5000000005
RWA,1972,66.006,1.5841693467095474e-05,4166600.0
RWA,1973,69.673,1.6196557815932316e-05,4301716.5
RWA,1974,73.34,1.6529808536855005e-05,4436833.0
RWA,1975,176.016,3.849911290577466e-05,4571949.5
RWA,1976,267.691,5.6870033264883045e-05,4707066.0
RWA,1977,267.691,5.528312904356661e-05,4842182.5
RWA,1978,289.693,5.8202852591335175e-05,4977299.0
RWA,1979,297.027,5.809915097863231e-05,5112415.5
RWA,1980,495.045,9.433863385683024e-05,5247531.999999999
RWA,1981,601.388,0.0001102498269864,5454775.000002358
RWA,1982,608.722,0.0001075097253311,5662018.0000023795
RWA,1983,696.73,0.0001187083007554,5869261.000000508
RWA,1984,634.391,0.0001044006553768,6076504.000002425
RWA,1985,616.056,9.803959325542549e-05,6283746.999999999
RWA,1986,597.721,9.208472051258744e-05,6490990.000000001
RWA,1987,616.056,9.19729128562712e-05,6698233.000000001
RWA,1988,696.73,0.0001008952894775,6905476.000000706
RWA,1989,689.396,9.692439698517544e-05,7112718.999999999
RWA,1990,550.0,7.513700207733319e-05,7319962.0
RWA,1991,500.0,6.757702195822072e-05,7398964.7
RWA,1992,500.0,6.686308902603666e-05,7477967.400000001
RWA,1993,510.0,6.748736507505833e-05,7556970.099999999
RWA,1994,470.0,6.15507692746103e-05,7635972.800000001
RWA,1995,460.0,5.962429822363013e-05,7714975.500000001
RWA,1996,480.0,6.158600751539182e-05,7793978.199999999
RWA,1997,510.0,6.477851356148977e-05,7872980.900000001
RWA,1998,510.0,6.413494112336952e-05,7951983.6
RWA,1999,530.0,6.599438477438319e-05,8030986.3
RWA,2000,540.0,6.658455393712617e-05,8109989.000000001
RWA,2001,560.0,6.722775269195528e-05,8329893.199999999
RWA,2002,560.000002384186,6.549862835161286e-05,8549797.4
RWA,2003,550.000011920929,6.271593230959294e-05,8769701.6
RWA,2004,560.000002384186,6.229416671242537e-05,8989605.799999999
RWA,2005,550.000011920929,5.972087678073306e-05,9209510.0
RWA,2006,550.000011920929,5.8328120947421e-05,9429414.2
RWA,2007,579.999983310699,6.010787076014602e-05,9649318.4
RWA,2008,560.000002384186,5.6742058121597744e-05,9869222.6
RWA,2009,589.999973773956,5.847879459439006e-05,10089126.8
RWA,2010,600.000023841858,5.820139873882017e-05,10309031.0
RWA,2011,680.000007152557,6.429763609483896e-05,10575816.6
RWA,2012,750.0,6.917158687238383e-05,10842602.200000001
RWA,2013,810.000002384186,7.291130861271995e-05,11109387.8
RWA,2014,860.000014305115,7.559659861593838e-05,11376173.4
RWA,2015,980.000019073486,8.417104441177591e-05,11642959.0
RWA,2016,1159.9999666214,9.712282063680154e-05,11943639.6
RWA,2017,1190.00005722046,9.718792368893292e-05,12244320.2
RWA,2018,1289.99996185303,0.000102829803076,12545000.800007464
RWA,2019,1330.00004291534,0.0001035367452687,12845681.400006397
RWA,2020,1330.00004291534,0.00010116867639233085,13146362.00000894
RWA,2021,1474.3243220821441,0.0001096392988359275,13447042.600011826
RWA,2022,1546.4864613448642,0.00011249036941209555,13747723.200014472
RWA,2023,1618.6486006075843,0.00011521939600040472,14048403.800015569
RWA,2024,1690.8107398703044,0.00011783405078223081,14349084.400018573
RWA,2025,1762.9728791330244,0.00012034137606511189,14649765.000020862
SAU,1970,45291.117,0.0074172453825961,6106191.000000019
SAU,1971,59808.77,0.0091833457758635,6512742.9
SAU,1972,70344.061,0.0101663627628642,6919294.80000001
SAU,1973,95136.648,0.0129864371854791,7325846.70000005
SAU,1974,98788.98,0.0127759813106375,7732398.600000033
SAU,1975,83336.242,0.0102391877183673,8138950.500000059
SAU,1976,101550.231,0.0118834711227744,8545502.400000056
SAU,1977,118176.409,0.013201038000853,8952054.300000038
SAU,1978,115132.799,0.0123023446589728,9358606.200000022
SAU,1979,138135.89,0.014145791454211,9765158.100000048
SAU,1980,169404.399,0.0166544660632283,10171710.000000004
SAU,1981,175491.619,0.0163171891536035,10755015.30000002
SAU,1982,158091.704,0.0139431322836293,11338320.600000063
SAU,1983,161050.973,0.0135091450068064,11921625.900000086
SAU,1984,155715.488,0.012452326646947,12504931.200000087
SAU,1985,172653.361,0.0131914915351659,13088236.500000048
SAU,1986,204878.957,0.0149857975052967,13671541.800000029
SAU,1987,190706.002,0.013378326730702,14254847.100000009
SAU,1988,202554.079,0.0136508962530941,14838152.400000056
SAU,1989,203738.52,0.0132113658749652,15421457.70000005
SAU,1990,171410.0,0.0107099367856931,16004763.000000013
SAU,1991,187930.0,0.0113490976706437,16559025.700000076
SAU,1992,202040.0,0.0118060302191833,17113288.40000008
SAU,1993,203260.0,0.0115047070671837,17667551.100000072
SAU,1994,206360.0,0.0113248879757513,18221813.80000008
SAU,1995,204830.0,0.0109090948793268,18776076.50000016
SAU,1996,217650.0,0.0112595023681736,19330339.200000092
SAU,1997,220070.0,0.0110673576019643,19884601.900000114
SAU,1998,233900.0,0.011443884216543,20438864.600000046
SAU,1999,239520.0,0.0114094482721495,20993127.300000045
SAU,2000,249660.0,0.0115865541023762,21547390.000000007
SAU,2001,254090.0,0.0113769040894926,22333843.900000058
SAU,2002,272250.0,0.0117753673570761,23120297.80000014
SAU,2003,284829.986572266,0.0119142069213972,23906751.70000014
SAU,2004,299890.014648438,0.0121446368489491,24693205.600000143
SAU,2005,315290.008544922,0.012374184535116,25479659.50000004
SAU,2006,335440.002441406,0.0127708274662899,26266113.400000066
SAU,2007,354619.995117188,0.0131085523671236,27052567.300000194
SAU,2008,389720.001220703,0.0139990554416727,27839021.200000096
SAU,2009,406529.998779297,0.0142016856439632,28625475.100000065
SAU,2010,446130.004882813,0.0151683354356939,29411929.0
SAU,2011,463769.989013672,0.015418134997641,30079512.8000001
SAU,2012,492470.001220703,0.0160167968906925,30747096.60000007
SAU,2013,503209.991455078,0.0160183068886188,31414680.400000002
