country_code,pollutant,unit,value
IRL,NO2,µg/m³,28.050587935294118
IRL,O3,µg/m³,39.094443999999996
IRL,PM10,µg/m³,-364.1769230769231
IRL,PM2.5,µg/m³,16.054789683381717
IRL,SO2,µg/m³,3.7014598225
IRL,TEMPERATURE,c,18.139657656351726
ISR,PM2.5,µg/m³,10.1
ITA,CO,µg/m³,682.6149004390243
ITA,NO2,µg/m³,20.211397077304348
ITA,O3,µg/m³,52.36162811479592
ITA,PM1,µg/m³,5.591703849037488
ITA,PM10,µg/m³,14.70453449652246
ITA,PM2.5,µg/m³,9.323980107453846
ITA,RELATIVEHUMIDITY,%,85.82648785909016
ITA,SO2,µg/m³,2.972598447444934
ITA,TEMPERATURE,c,15.71232550409105
ITA,UM003,particles/cm³,2704.910685221354
JPN,NO,ppm,0.0012614285714285715
JPN,NOX,ppm,0.005501430615164521
JPN,PM2.5,µg/m³,5.831050072727919
JPN,TEMPERATURE,c,19.973809560139973
JOR,PM2.5,µg/m³,9.0
KAZ,PM2.5,µg/m³,116.5
KEN,PM10,µg/m³,5.5
KEN,PM2.5,µg/m³,9.0
KOR,PM2.5,µg/m³,19.05
KWT,PM2.5,µg/m³,38.0
KGZ,PM2.5,µg/m³,19.0
LAO,PM10,µg/m³,25.6
LAO,PM2.5,µg/m³,21.945833373069764
LAO,TEMPERATURE,c,27.944652795791626
LVA,CO,µg/m³,260.0
LVA,NO2,µg/m³,22.09242011111111
LVA,O3,µg/m³,49.947909777777774
LVA,PM10,µg/m³,21.3974999775
LVA,PM2.5,µg/m³,6.163333335
LVA,SO2,µg/m³,0.5958397085714285
LTU,CO,µg/m³,244.48199555555553
LTU,NO2,µg/m³,6.844017871428571
LTU,O3,µg/m³,80.79514621692307
LTU,PM10,µg/m³,66.22384628461539
LTU,PM2.5,µg/m³,17.149999468
LTU,SO2,µg/m³,4.996578906666667
LUX,CO,µg/m³,233.33333333333334
LUX,NO2,µg/m³,11.411111111111111
LUX,O3,µg/m³,69.75
LUX,PM10,µg/m³,14.333333333333334
LUX,PM2.5,µg/m³,7.966666666666666
LUX,SO2,µg/m³,3.9499999999999997
MKD,CO,µg/m³,1299.7501054545455
MKD,NO2,µg/m³,12.755561739130435
MKD,O3,µg/m³,36.52435652173913
MKD,PM10,µg/m³,29.47061904761905
MKD,PM2.5,µg/m³,17.883933333333335
MKD,SO2,µg/m³,2.9590318589473683
MDG,PM2.5,µg/m³,18.0
MYS,PM10,µg/m³,27.5
MYS,PM2.5,µg/m³,8.658749995628993
MYS,TEMPERATURE,c,26.88333320617676
MLI,PM2.5,µg/m³,-999.0
MLT,CO,µg/m³,205.481
MLT,NO2,µg/m³,4.695825
MLT,O3,µg/m³,85.752235
MLT,PM10,µg/m³,14.697666666666668
MLT,PM2.5,µg/m³,13.4765
MLT,SO2,µg/m³,0.10437
MEX,NO,ppm,0.02566510829840217
MEX,NOX,ppm,0.04165369174982426
MEX,PM1,µg/m³,7.201264878114065
MEX,PM10,µg/m³,76.1054682533101
MEX,PM2.5,µg/m³,29.689909624188733
MEX,RELATIVEHUMIDITY,%,20.62434514363607
MEX,TEMPERATURE,c,20.190699577331543
MEX,UM003,particles/cm³,1670.9300587972004
MDA,NO2,µg/m³,12.67044171
MDA,PM2.5,µg/m³,18.0
MDA,SO2,µg/m³,5.27553229
MNG,CO,µg/m³,151.5
MNG,NO2,µg/m³,41.707317073170735
MNG,O3,µg/m³,28.25
MNG,PM10,µg/m³,181.14814814814815
MNG,PM2.5,µg/m³,111.05454545454545
MNG,SO2,µg/m³,36.048780487804876
MNE,CO,µg/m³,458.0
MNE,NO2,µg/m³,10.1375
MNE,O3,µg/m³,61.85
MNE,PM10,µg/m³,22.14
MNE,PM2.5,µg/m³,20.54
MNE,SO2,µg/m³,14.080000000000002
MAR,PM2.5,µg/m³,5.0
MOZ,PM2.5,µg/m³,4.0
MMR,PM10,µg/m³,54.0
MMR,PM2.5,µg/m³,49.96666666666667
NPL,PM2.5,µg/m³,29.05218251546224
NPL,TEMPERATURE,c,19.73660723368327
NLD,CO,µg/m³,-397.76745999999997
NLD,NO2,µg/m³,-580.7029113924051
NLD,O3,µg/m³,-133.66208333333333
NLD,PM1,µg/m³,11.087797657648725
NLD,PM10,µg/m³,-239.785376987875
NLD,PM2.5,µg/m³,-77.76508471318036
NLD,RELATIVEHUMIDITY,%,62.25299326578776
NLD,SO2,µg/m³,-151.69615384615383
NLD,TEMPERATURE,c,11.244843276341756
NLD,UM003,particles/cm³,1349.21115620931
NZL,CO,µg/m³,309.7708
NZL,NO2,µg/m³,8.34367085
NZL,PM1,µg/m³,1.1875
NZL,PM10,µg/m³,15.991346348484848
NZL,PM2.5,µg/m³,7.229572906666666
NZL,RELATIVEHUMIDITY,%,86.94461886088054
NZL,SO2,µg/m³,-0.4294061
NZL,TEMPERATURE,c,15.687362353006998
NZL,UM003,particles/cm³,455.25
NIC,PM2.5,µg/m³,14.8375
NGA,PM2.5,µg/m³,37.23333333333333
NOR,CO,µg/m³,304.205
NOR,NO2,µg/m³,24.599437610117743
NOR,O3,µg/m³,51.446931615384614
NOR,PM10,µg/m³,15.2978142993
NOR,PM2.5,µg/m³,10.303795174208064
NOR,SO2,µg/m³,3.3901275
PAK,PM2.5,µg/m³,28.8
PER,CO,µg/m³,4214.798333333333
PER,NO2,µg/m³,30.63153846153846
PER,O3,µg/m³,22.62
PER,PM10,µg/m³,67.03461538461539
PER,PM2.5,µg/m³,-33.69866666666666
PER,SO2,µg/m³,45.50384615384615
PHL,PM2.5,µg/m³,11.4
POL,BC,µg/m³,0.7688018867924528
POL,CO,µg/m³,491.9175851351351
POL,NO2,µg/m³,10.574093973333333
POL,O3,µg/m³,56.74997107333334
POL,PM10,µg/m³,24.63212378571429
POL,PM2.5,µg/m³,23.942290307070483
POL,SO2,µg/m³,11.706925442424241
POL,TEMPERATURE,c,7.712351163228353
PRT,CO,µg/m³,378.2142857142857
PRT,NO2,µg/m³,7.977586206896552
PRT,O3,µg/m³,99.29268292682927
PRT,PM10,µg/m³,12.794444444444444
PRT,PM2.5,µg/m³,3.9105263157894736
PRT,SO2,µg/m³,3.3368421052631576
PRI,PM10,µg/m³,33.5
PRI,PM2.5,µg/m³,29.425
QAT,PM2.5,µg/m³,50.0
ROU,NO2,µg/m³,15.380301544615385
ROU,O3,µg/m³,71.5993998625
ROU,PM10,µg/m³,19.066018587692305
ROU,PM2.5,µg/m³,8.899424214444444
ROU,SO2,µg/m³,6.424894865000001
RUS,CO,µg/m³,317.14285714285717
RUS,NO2,µg/m³,23.52881204081633
RUS,O3,µg/m³,51.64985496666666
RUS,PM10,µg/m³,23.223166666666668
RUS,PM2.5,µg/m³,8.405949999999999
RUS,SO2,µg/m³,4.430434782608696
RWA,PM10,µg/m³,0.0
RWA,PM2.5,µg/m³,24.95
SAU,CO,µg/m³,1457.755
SAU,NO2,µg/m³,11.971
SAU,PM10,µg/m³,39.861
SAU,PM2.5,µg/m³,80.46459999999999
SAU,SO2,µg/m³,13.922
SEN,PM1,µg/m³,10.77315668626265
SEN,PM10,µg/m³,19.795277508822355
SEN,PM2.5,µg/m³,18.965353532270957
SEN,RELATIVEHUMIDITY,%,86.1463456587358
SEN,TEMPERATURE,c,20.125328063964844
SEN,UM003,particles/cm³,2026.9462224786928
SRB,CO,µg/m³,319.0976886585365
SRB,NO2,µg/m³,15.290670789950266
SRB,O3,µg/m³,46.28002632039366
SRB,PM10,µg/m³,16.54045888860136
SRB,PM2.5,µg/m³,11.091751348224706
SRB,SO2,µg/m³,8.625459271612636
SRB,PM2.5,µg/m³,14.0
SGP,PM2.5,µg/m³,282.9
SVK,CO,µg/m³,624.4161379310344
SVK,NO2,µg/m³,21.471892733387097
SVK,O3,µg/m³,44.36020512820513
SVK,PM10,µg/m³,24.99682402428571
SVK,PM2.5,µg/m³,19.107756944444443
SVK,SO2,µg/m³,8.083452801875
SVN,NO2,µg/m³,5.0
SVN,O3,µg/m³,74.01350000000001
SVN,PM10,µg/m³,12.994736842105263
SVN,PM2.5,µg/m³,15.1
SVN,SO2,µg/m³,0.535044495
ZAF,NO,ppm,-0.07244230656934307
ZAF,NO2,µg/m³,1.07
ZAF,NOX,ppm,-0.06727348175182483
ZAF,O3,µg/m³,13.28
ZAF,PM10,µg/m³,4.0175985915492936
ZAF,PM2.5,µg/m³,-16.906157480314963
ZAF,SO2,µg/m³,6.49
ESP,CO,µg/m³,487.26181818181817
ESP,NO2,µg/m³,12.630576323987539
ESP,O3,µg/m³,60.94555133079848
ESP,PM1,µg/m³,9.34548611442248
ESP,PM10,µg/m³,17.269044236323936
ESP,PM2.5,µg/m³,8.875186850710168
ESP,RELATIVEHUMIDITY,%,52.51999950408936
ESP,SO2,µg/m³,3.249485596707819
ESP,TEMPERATURE,c,18.91986099878947
ESP,UM003,particles/cm³,2723.1111043294272
LKA,PM2.5,µg/m³,50.0
SDN,PM2.5,µg/m³,-658.3333333333334
SWE,CO,µg/m³,171.16666666666666
SWE,NO2,µg/m³,12.918388467102803
SWE,O3,µg/m³,59.64465777755556
SWE,PM10,µg/m³,31.841381809523806
SWE,PM2.5,µg/m³,18.807094188648648
SWE,SO2,µg/m³,-0.477538
CHE,CO,µg/m³,204.79999999999998
CHE,NO2,µg/m³,16.164245454545455
CHE,O3,µg/m³,62.90028125
CHE,PM1,µg/m³,7.492807522416115
CHE,PM10,µg/m³,8.127190168861869
CHE,PM2.5,µg/m³,3.521533883084089
