year,month,R1,temp_mean,temp_max,temp_min,country_code
2004,5,0.0,31.4,40.2,24.3,ARE
2004,6,0.0,33.35,41.85,23.65,ARE
2004,7,0.0,35.45,43.75,28.450000000000003,ARE
2004,8,0.0,35.1,42.35,29.5,ARE
2004,9,0.0,32.7,40.3,26.4,ARE
2004,10,0.0,28.7,36.7,22.3,ARE
2004,12,10.0,20.8,26.15,15.2,ARE
2004,1,99.56521739130434,5.675,8.120833333333334,3.220833333333333,GBR
2004,2,51.52173913043478,5.284,8.308,2.32,GBR
2004,3,51.869565217391305,5.976,9.316,2.464,GBR
2004,4,72.47826086956522,7.56,10.9,4.144,GBR
2004,5,35.34782608695652,9.332,13.368,5.367999999999999,GBR
2004,6,62.69565217391305,12.179166666666667,15.924999999999999,8.2875,GBR
2004,7,55.0,11.664000000000001,15.332,7.888,GBR
2004,8,124.56521739130434,14.700000000000001,18.379166666666666,11.091666666666667,GBR
2004,9,68.3913043478261,11.324000000000002,14.812000000000001,7.784,GBR
2004,10,122.0,8.552,11.575999999999999,5.492000000000001,GBR
2004,11,53.40909090909091,7.0375000000000005,9.487499999999999,4.520833333333333,GBR
2004,12,66.0909090909091,6.534782608695653,9.091304347826087,4.008695652173913,GBR
2004,1,395.1242937853107,-0.5775280898876405,4.248876404494382,-5.404494382022472,USA
2004,2,118.60112359550561,1.9994382022471913,6.897752808988764,-2.901123595505618,USA
2004,3,284.49717514124296,8.201685393258428,13.776966292134832,2.6252808988764045,USA
2004,4,236.59444444444443,12.042222222222222,18.09722222222222,5.987222222222223,USA
2004,5,205.40782122905028,17.548333333333332,23.31388888888889,11.782222222222224,USA
2004,6,154.87222222222223,20.613888888888887,26.185000000000002,15.051666666666668,USA
2004,7,143.76111111111112,22.953333333333337,28.52111111111111,17.389444444444443,USA
2004,8,144.60893854748602,21.75722222222222,27.363888888888887,16.157222222222224,USA
2004,9,151.2513966480447,19.23111111111111,24.991666666666667,13.470555555555555,USA
2004,10,80.91061452513966,13.79888888888889,18.906666666666666,8.675555555555555,USA
2004,11,146.0,7.778333333333332,12.573333333333332,2.986111111111111,USA
2004,12,117.6927374301676,2.6177777777777775,7.75,-2.522222222222222,USA
2004,1,95.81818181818181,22.30909090909091,28.44545454545454,16.581818181818182,URY
2004,2,54.81818181818182,20.672727272727272,26.59090909090909,14.881818181818181,URY
2004,3,42.416666666666664,20.333333333333332,24.766666666666666,12.600000000000001,URY
2004,4,208.58333333333334,18.025000000000002,23.65833333333333,13.325000000000001,URY
2004,5,73.41666666666667,11.816666666666668,16.341666666666665,7.858333333333333,URY
2004,6,75.6,11.5,16.490000000000002,7.3,URY
2004,7,37.18181818181818,11.654545454545454,17.11818181818182,6.9363636363636365,URY
2004,8,78.54545454545455,13.127272727272727,19.38181818181818,8.454545454545455,URY
2004,9,159.1818181818182,15.463636363636363,20.736363636363635,9.89090909090909,URY
2004,10,25.0,-2.7,-0.9,-5.4,URY
2004,11,48.0,-0.2,1.2,-2.4,URY
2004,1,801.9230769230769,3.230769230769231,7.216666666666666,0.3,UZB
2004,2,16.076923076923077,6.361538461538462,12.450000000000001,1.8083333333333333,UZB
2004,3,809.3076923076923,9.846153846153847,16.266666666666666,4.758333333333334,UZB
2004,4,33.84615384615385,14.446153846153846,20.75,8.958333333333334,UZB
2004,5,1558.8461538461538,22.846153846153847,30.425,15.633333333333333,UZB
2004,6,772.5384615384615,27.746153846153845,35.550000000000004,19.625,UZB
2004,7,775.7692307692307,27.884615384615383,35.00833333333333,20.974999999999998,UZB
2004,8,1669.0833333333333,26.566666666666666,34.41818181818182,19.2,UZB
2004,9,3845.923076923077,21.646153846153844,29.833333333333332,14.141666666666666,UZB
2004,10,781.6153846153846,12.692307692307692,20.766666666666666,6.191666666666666,UZB
2004,11,39.38461538461539,9.738461538461538,15.408333333333333,5.2749999999999995,UZB
2004,12,46.61538461538461,1.853846153846154,6.033333333333334,-1.0916666666666666,UZB
2004,3,217.66666666666666,26.833333333333332,,,VUT
2004,4,173.0,25.76,,,VUT
2004,5,96.0,24.8,,,VUT
2004,6,178.2,24.44,,,VUT
2004,7,154.0,23.339999999999996,,,VUT
2004,8,256.2,23.119999999999997,,,VUT
2004,9,106.83333333333333,23.3,,,VUT
2004,10,230.83333333333334,23.316666666666666,,,VUT
2004,11,20.0,24.5,,,VUT
2004,12,126.75,26.1,,,VUT
2004,1,994.8709677419355,25.346875,31.55,21.33125,VEN
2004,2,13.818181818181818,25.98181818181818,32.63333333333333,21.563636363636363,VEN
2004,3,22.045454545454547,26.995454545454546,32.82727272727273,22.554545454545455,VEN
2004,4,436.0,27.178571428571427,33.11071428571429,23.389285714285712,VEN
2004,5,214.33333333333334,25.903333333333332,31.096666666666668,23.006666666666668,VEN
2004,6,154.75862068965517,25.71379310344828,31.186206896551724,22.637931034482758,VEN
2004,7,162.28125,25.540625,31.015625,22.234375,VEN
2004,8,142.625,25.759375,31.509677419354837,22.40967741935484,VEN
2004,9,161.59375,25.7875,31.953125,22.490625,VEN
2004,10,137.13333333333333,26.348387096774193,32.34193548387097,22.65806451612903,VEN
2004,11,144.13333333333333,25.903333333333332,31.80666666666667,22.03103448275862,VEN
2004,12,370.8125,25.5625,31.671875,21.921875,VEN
2004,2,1449.857142857143,19.92142857142857,24.07857142857143,17.107142857142858,VNM
2004,3,1447.9285714285713,22.407142857142855,26.150000000000002,20.00714285714286,VNM
2004,5,183.15384615384616,26.86923076923077,31.315384615384612,24.00769230769231,VNM
2004,6,204.57142857142858,28.27857142857143,33.25,24.77857142857143,VNM
2004,7,202.5,27.214285714285715,32.25,25.25714285714286,VNM
2004,8,157.78571428571428,27.985714285714288,32.73571428571429,25.357142857142858,VNM
2004,9,174.92307692307693,26.942857142857143,31.342857142857145,24.157142857142855,VNM
2004,11,207.92857142857142,23.2,27.37142857142857,20.407142857142855,VNM
2004,1,368.0,27.5,30.6,24.9,WLF
2004,2,299.0,28.0,31.0,25.3,WLF
2004,3,379.0,27.7,31.1,25.1,WLF
2004,4,90.0,28.2,31.7,25.6,WLF
2004,5,98.0,27.9,31.1,25.3,WLF
2004,6,245.0,27.6,30.3,25.1,WLF
2004,7,544.0,26.4,29.3,24.3,WLF
2004,8,39.0,27.2,30.3,24.7,WLF
2004,9,58.0,27.1,30.5,24.7,WLF
2004,10,395.0,27.1,30.4,24.8,WLF
2004,11,331.0,27.1,30.8,24.1,WLF
2004,1,6.0,17.9,21.0,14.8,ESH
2004,2,6.0,20.5,24.6,16.3,ESH
2004,3,0.0,20.1,24.0,16.2,ESH
2004,4,10.0,20.2,23.9,16.5,ESH
2004,5,0.0,20.3,23.6,16.9,ESH
2004,6,0.0,21.6,24.9,18.3,ESH
2004,7,0.0,20.6,26.5,19.6,ESH
2004,8,0.0,24.5,28.2,20.7,ESH
2004,9,2.0,23.4,26.8,20.1,ESH
2004,10,0.0,26.8,29.8,17.4,ESH
2004,11,9999.0,22.3,26.0,18.6,ESH
2004,12,13.0,18.4,21.6,15.2,ESH
2004,1,260.0,21.899999999999995,27.95,18.03333333333333,ZMB
2004,2,218.5,22.55,28.633333333333336,17.8,ZMB
2004,3,292.3333333333333,22.933333333333334,28.3,18.2,ZMB
2004,4,80.66666666666667,22.566666666666666,28.166666666666668,15.933333333333332,ZMB
2004,6,0.0,17.2,24.9,9.7,ZMB
2004,9,187.0,23.85,33.3,15.7,ZMB
2004,10,10.25,26.05,33.36666666666667,17.775,ZMB
2004,12,1116.3333333333333,25.03333333333333,31.4,18.633333333333333,ZMB
2004,1,104.5,22.5,,,ZWE
2004,2,120.5,21.299999999999997,,,ZWE
2004,7,0.0,13.25,,,ZWE
2004,8,8.5,17.200000000000003,,,ZWE
2005,1,581.2702702702703,7.747297297297297,13.828378378378378,2.401351351351351,DZA
2005,2,335.83098591549293,8.645833333333334,14.094444444444443,3.726388888888889,DZA
2005,3,431.7972972972973,14.483783783783784,20.444594594594594,9.095945945945946,DZA
2005,4,771.1940298507462,17.356716417910448,23.5910447761194,11.308955223880597,DZA
2005,5,719.3285714285714,23.308571428571426,30.26666666666667,16.179710144927537,DZA
2005,6,734.0144927536232,26.535714285714285,32.94428571428571,19.72142857142857,DZA
2005,7,860.5714285714286,30.12,37.19857142857143,23.231428571428573,DZA
2005,8,914.469696969697,28.46212121212121,35.55757575757576,21.707575757575757,DZA
2005,9,22.95774647887324,24.6875,31.130555555555556,18.4625,DZA
2005,10,168.71830985915494,20.956338028169014,27.364788732394366,15.332394366197182,DZA
2005,11,50.22222222222222,14.387500000000001,20.130555555555556,9.381944444444445,DZA
2005,12,595.4931506849315,9.95,15.335616438356164,5.4369863013698625,DZA
2005,1,355.0,28.9,31.4,26.5,ASM
2005,2,272.0,29.2,31.4,26.9,ASM
2005,3,321.0,29.3,31.6,27.0,ASM
2005,4,367.0,28.7,31.1,26.3,ASM
2005,5,277.0,27.8,29.9,25.8,ASM
2005,6,320.0,27.1,29.1,25.1,ASM
2005,7,159.0,26.8,28.8,24.9,ASM
2005,8,297.0,27.2,29.1,25.3,ASM
2005,9,393.0,27.8,29.8,25.8,ASM
2005,10,196.0,28.0,30.3,25.6,ASM
2005,11,242.0,28.7,31.1,26.3,ASM
2005,12,631.0,28.1,30.6,25.7,ASM
2005,1,85.96470588235294,21.19047619047619,27.635365853658534,14.809756097560976,ARG
2005,2,79.2875,20.49240506329114,26.614102564102566,12.259493670886076,ARG
2005,3,99.52564102564102,17.196153846153845,23.95,11.507792207792209,ARG
2005,4,64.04819277108433,13.466265060240964,20.109756097560975,7.467901234567901,ARG
2005,5,567.2207792207793,10.138157894736842,16.646478873239438,5.945205479452055,ARG
2005,6,708.7894736842105,8.428947368421053,13.24861111111111,4.442465753424658,ARG
2005,7,782.5189873417721,7.787179487179487,14.504,2.4853333333333336,ARG
2005,8,292.22222222222223,9.928749999999999,15.893333333333333,4.266666666666667,ARG
2005,9,292.2625,10.755696202531647,14.155263157894737,4.762666666666666,ARG
2005,10,46.726027397260275,14.184931506849315,20.471830985915492,7.665714285714286,ARG
2005,11,95.17073170731707,18.62716049382716,25.1175,11.837179487179487,ARG
2005,12,199.57894736842104,19.701351351351352,26.078082191780823,13.418055555555556,ARG
2005,3,59.0,5.3,,,ARM
2005,4,78.0,13.4,,,ARM
2005,6,35.0,20.8,,,ARM
2005,7,7.0,26.9,,,ARM
2005,9,56.333333333333336,15.1,21.333333333333332,10.233333333333333,ARM
2005,10,59.0,9.433333333333334,15.533333333333333,4.833333333333333,ARM
2005,1,355.8679245283019,23.378651685393255,29.891743119266053,18.03669724770642,AUS
2005,2,337.41509433962267,22.677380952380954,29.23177570093458,17.31495327102804,AUS
2005,3,243.1764705882353,21.313253012048193,27.57281553398058,16.007692307692306,AUS
2005,4,624.3039215686274,19.71951219512195,26.020388349514562,14.226213592233009,AUS
2005,5,535.990099009901,15.92625,21.73592233009709,10.46504854368932,AUS
2005,6,182.8252427184466,13.592682926829267,18.58173076923077,8.819230769230769,AUS
2005,7,630.1553398058253,12.753658536585366,17.972815533980583,7.757281553398058,AUS
2005,8,145.54901960784315,13.206172839506173,18.84854368932039,7.672549019607843,AUS
2005,9,243.0873786407767,15.653658536585365,21.351923076923075,10.037864077669903,AUS
