country_code,year,value,co2_per_capita
JOR,1990,9930.0,0.0028529670426281546
JOR,1991,9780.0,0.00268818260906923
JOR,1992,11930.0,0.003143026627679437
JOR,1993,12200.0,0.003086058198352647
JOR,1994,12990.0,0.0031599521049538075
JOR,1995,13600.0,0.003186220160081792
JOR,1996,13870.0,0.0031337981326087804
JOR,1997,14370.0,0.003135160157922184
JOR,1998,14620.0,0.003083700793616343
JOR,1999,14630.0,0.002986558262699257
JOR,2000,16270.0,0.0032178481199420747
JOR,2001,16250.0,0.0030989672448506794
JOR,2002,16870.0008392334,0.003106132975338189
JOR,2003,17309.9994659424,0.0030807841547991037
JOR,2004,18579.9999237061,0.003200023354953085
JOR,2005,19870.0008392334,0.0033151388619736735
JOR,2006,20170.0000762939,0.003263107561067335
JOR,2007,21090.0001525879,0.0033114908122048865
JOR,2008,20010.0002288818,0.003052053702490659
JOR,2009,20659.9998474121,0.0030635775455559767
JOR,2010,20200.0007629395,0.0029143339871260743
JOR,2011,20760.0002288818,0.0027888773431985706
JOR,2012,24120.0008392334,0.003031501629298014
JOR,2013,23799.9992370605,0.00281023219710295
JOR,2014,25549.9992370605,0.0028446893152776387
JOR,2015,25309.9994659424,0.0026658251182813675
JOR,2016,24819.9996948242,0.00253753623374044
JOR,2017,26149.9996185303,0.0025973287757940374
JOR,2018,24780.0006866455,0.0023930628496361297
JOR,2019,24629.9991607666,0.0023144523468779325
JPN,1970,768823.22,0.007293172772900162
JPN,1971,797543.164,0.0074790069658251515
JPN,1972,853373.239,0.007911984119120781
JPN,1973,915748.909,0.008395277935970143
JPN,1974,915873.587,0.008303494096304731
JPN,1975,870072.757,0.007801907456177291
JPN,1976,908902.62,0.00806184598984039
JPN,1977,935213.345,0.008206362086402652
JPN,1978,903886.164,0.007847410860777641
JPN,1979,955620.2,0.008209551481864323
JPN,1980,947571.135,0.008055920186693561
JPN,1981,929606.502,0.007862668443710908
JPN,1982,900200.829,0.007575112969595459
JPN,1983,883838.675,0.0073996794039551984
JPN,1984,940130.792,0.007831222515504206
JPN,1985,915396.877,0.007586879249029996
JPN,1986,915334.538,0.007548436700062792
JPN,1987,905734.332,0.007432112484520969
JPN,1988,989081.575,0.008075856221639262
JPN,1989,1025549.89,0.00833237720130869
JPN,1990,1090530.0,0.008816900617490271
JPN,1991,1103980.0,0.008903202731171431
JPN,1992,1115060.0,0.008970006707997321
JPN,1993,1107610.0,0.008887786315473139
JPN,1994,1160780.0,0.009291195031475066
JPN,1995,1171010.0,0.009349747687915369
JPN,1996,1184670.0,0.009435327878778732
JPN,1997,1172630.0,0.009316302948601184
JPN,1998,1130310.0,0.008957892200539334
JPN,1999,1165320.0,0.00921259063223605
JPN,2000,1182610.0,0.009326293305848155
JPN,2001,1170380.0,0.00922038093838643
JPN,2002,1206599.97558594,0.009495988744159713
JPN,2003,1214949.95117188,0.009551918957928722
JPN,2004,1209849.97558594,0.009502099596770737
JPN,2005,1212819.94628906,0.009515698206003882
JPN,2006,1189520.01953125,0.009323367607749098
JPN,2007,1225069.94628906,0.009592219629470659
JPN,2008,1158219.97070313,0.00905955579596466
JPN,2009,1100979.98046875,0.008603067968182276
JPN,2010,1156479.98046875,0.009027564026296044
JPN,2011,1213520.01953125,0.009485476721973205
JPN,2012,1253609.98535156,0.009811947012542266
JPN,2013,1262780.02929688,0.00989695892174711
JPN,2014,1217119.99511719,0.009551895230842804
JPN,2015,1179439.94140625,0.009268615275349298
JPN,2016,1167790.0390625,0.009206092343545387
JPN,2017,1155229.98046875,0.009135974784490502
JPN,2018,1116150.02441406,0.008855014316340493
JPN,2019,1081569.94628906,0.008608073363944712
KAZ,1990,237250.0,0.014066291988474474
KAZ,1991,246370.0,0.01474957511980101
KAZ,1992,253840.0,0.015346572634045366
KAZ,1993,219240.0,0.01338668304689308
KAZ,1994,199170.0,0.01228349620976711
KAZ,1995,175240.0,0.01091742232207916
KAZ,1996,153390.0,0.00965422711205808
KAZ,1997,132240.0,0.008409353918190417
KAZ,1998,135840.0,0.008728778462587346
KAZ,1999,122650.0,0.007964656019072055
KAZ,2000,120150.0,0.007885797118228477
KAZ,2001,117440.0,0.007638169603708945
KAZ,2002,131059.997558594,0.008447543131914235
KAZ,2003,146139.999389648,0.009335795123212118
KAZ,2004,158029.998779297,0.01000640369185561
KAZ,2005,169210.006713867,0.010620733666887523
KAZ,2006,185300.003051758,0.0115299395098041
KAZ,2007,198389.999389648,0.012238468322751932
KAZ,2008,242029.998779297,0.014803492446175699
KAZ,2009,213610.000610352,0.01295494962284922
KAZ,2010,229699.996948242,0.013814183826088866
KAZ,2011,245449.996948242,0.014549969120409099
KAZ,2012,244600.006103516,0.014294843404992107
KAZ,2013,260010.009765625,0.014983853028399902
KAZ,2014,209229.995727539,0.011891922949132555
KAZ,2015,190729.995727539,0.010693595472343966
KAZ,2016,202149.993896484,0.011190409126378932
KAZ,2017,214580.001831055,0.011730014548161898
KAZ,2018,216600.006103516,0.011694259021886588
KAZ,2019,212110.000610352,0.01131218573487635
KEN,1970,3083.947,0.00026879836263771033
KEN,1971,3685.335,0.0003085384795854042
KEN,1972,3872.352,0.00031188667326294267
